mistake,correct
成你貴言,承你貴言
披麻帶孝,披麻戴孝
拍拍籮友,拍拍籮柚
指名導姓,指名道姓
指明道姓,指名道姓
旨日可待,指日可待
按步就班,按部就班
挨身挨世,挨身挨勢
震奮人心,振奮人心
足襟見肘,捉襟見肘
卷土重來,捲土重來
爭扎求存,掙扎求存
推倒從來,推倒重來
簡飲擇食,揀飲擇食
提心吊擔,提心吊膽
插裝嫁禍,插贓嫁禍
賊贓嫁禍,插贓嫁禍
撥亂返正,撥亂反正
檔風玻璃,擋風玻璃
擺明居馬,擺明車馬
收賣人心,收買人心
改過自身,改過自新
放長相眼,放長雙眼
固態復萌,故態復萌
生陳代謝,新陳代謝
身陳代謝,新陳代謝
斷章取意,斷章取義
段章取義,斷章取義
於是無補,於事無補
司政報告,施政報告
日曬雨林,日曬雨淋
日灑雨淋,日曬雨淋
逆地而處,易地而處
事非不分,是非不分
時而世易,時移世易
時而勢易,時移勢易
時晨八字,時辰八字
神早流流,晨早流流
更新人士,更生人士
曾幾可時,曾幾何時
最低公資,最低工資
最底工資,最低工資
最後通碟,最後通牒
最後通諜,最後通牒
有持無恐,有恃無恐
有目共賭,有目共睹
有買襯手,有買趁手
有板你睇,有辦你睇
有版你睇,有辦你睇
望天打掛,望天打卦
未尚不可,未嘗不可
未知知數,未知之數
本沒倒置,本末倒置
標其立異,標奇立異
標奇立意,標奇立異
無棱兩可,模棱兩可
無稜兩可,模稜兩可
像膠子彈,橡膠子彈
還死掂死,橫死掂死
慾求不滿,欲求不滿
慾罷不能,欲罷不能
歡喜怨家,歡喜冤家
始起彼落,此起彼落
死都臨頭,死到臨頭
死口唔應,死口唔認
死心不惜,死心不息
殺生之禍,殺身之禍
氣弱游絲,氣若游絲
氣若柔絲,氣若游絲
氣若遊絲,氣若游絲
水肚不服,水土不服
水性揚花,水性楊花
水性陽花,水性楊花
永不超身,永不超生
江朗才盡,江郎才盡
污糟邋塌,污糟邋遢
尋冤得雪,沉冤得雪
充昏頭腦,沖昏頭腦
留芳百世,流芳百世
浪得虛明,浪得虛名
浴火重新,浴火重生
心思熟慮,深思熟慮
混身解數,渾身解數
蒼海遺珠,滄海遺珠
漁翁散網,漁翁撒網
莫不關心,漠不關心
慢無目的,漫無目的
萬無目的,漫無目的
漸入佳景,漸入佳境
潛而默化,潛移默化
頻臨絕種,瀕臨絕種
抄埋一碟,炒埋一碟
為世所逼,為勢所逼
為國捐驅,為國捐軀
污合之眾,烏合之眾
峰火連天,烽火連天
峰煙四起,烽煙四起
烽煙四喜,烽煙四起
無可口非,無可厚非
無何否認,無可否認
無可否應,無可否認
無何奈何,無可奈何
無可奈可,無可奈何
無堅不催,無堅不摧
無其不有,無奇不有
無影無縱,無影無蹤
無業遊民,無業游民
無端百事,無端白事
無原無故,無緣無故
無源無故,無緣無故
無逢接軌,無縫接軌
無補於是,無補於事
無關痛養,無關痛癢
爐火純清,爐火純青
物競天澤,物競天擇
狂風浪蝶,狂蜂浪蝶
差包剪揼,猜包剪揼
獨一無異,獨一無二
獨孤一味,獨沽一味
獲利回套,獲利回吐
玉王大帝,玉皇大帝
理直氣狀,理直氣壯
甘敗下風,甘拜下風
甜言密語,甜言蜜語
生死悠關,生死攸關
心理時鐘,生理時鐘
用人為親,用人唯親
由上以下,由上而下
由始自終,由始至終
由細都大,由細到大
畏手畏尾,畏首畏尾
畢身難忘,畢生難忘
略盡棉力,略盡綿力
畫龍點精,畫龍點睛
異曲同弓,異曲同工
碟埋心水,疊埋心水
跌埋心水,疊埋心水
發人深醒,發人深省
發陽光大,發揚光大
白字黑字,白紙黑字
白紙黑紙,白紙黑字
白色恐佈,白色恐怖
百步穿揚,百步穿楊
百詞莫辯,百辭莫辯
誠意拳拳,盛意拳拳
相題並論,相提並論
相輔相乘,相輔相成
相輔相承,相輔相成
真才實料,真材實料
真金百銀,真金白銀
眼花撩亂,眼花繚亂
眼花瞭亂,眼花繚亂
